Time,Voltage,Controller
250706,518,1022
250907,518,1023
251108,518,1022
251310,518,1023
251510,518,1023
251711,518,1023
251912,518,1022
252113,518,1023
252314,518,1023
252515,518,1023
252716,518,1023
252916,518,1022
253118,518,1023
253319,518,1023
253519,518,1023
253720,518,1023
253921,518,1023
254123,518,1023
254323,518,1023
254524,518,1022
254725,518,1022
254925,518,1023
255127,518,1023
255328,518,1023
255528,518,1023
255729,518,1023
255930,518,1023
256132,518,1023
256332,518,1023
256533,518,1023
256734,518,1023
256934,518,1023
257136,518,1022
257337,518,1023
257538,518,1023
257738,518,1023
257939,518,1022
258141,518,1023
258341,518,1023
258542,518,1023
258743,518,1023
258944,518,1022
259145,518,1023
259346,518,1022
259547,518,1023
259747,518,1022
259948,518,1023
260150,518,1023
260350,518,1023
260551,518,1023
260752,518,1023
260953,518,1023
261154,518,1023
261355,518,1023
261556,518,1023
261756,518,1023
261957,518,1022
262159,518,1023
262360,518,1023
262560,518,1023
262761,518,1023
262962,518,1021
263163,518,1023
263364,518,1023
263565,518,1023
263766,518,1023
263966,517,1022
264168,518,1023
264369,518,1023
264569,518,1023
264770,518,1023
264971,517,1023
265172,518,1023
265373,518,1023
265574,518,1023
265775,518,1023
265975,518,1023
266177,518,1023
266378,518,1023
266578,518,1023
266779,518,1022
266980,518,1023
267182,518,1023
267382,518,1023
267583,518,1023
267784,518,1023
267984,518,1022
268186,518,1023
268387,518,1023
268588,517,1023
268788,518,1023
268989,518,1023
269191,518,1023
269391,518,1022
269592,518,1023
269793,518,1023
269993,518,1022
270195,518,1023
270396,518,1023
270597,518,1023
270797,519,1023
270998,518,1023
271200,518,1023
271400,518,1023
271601,518,1022
271802,518,1023
272003,518,1023
272204,518,1023
272405,518,1022
272606,518,1023
272806,518,1023
273007,518,1023
273209,518,1021
273410,518,1023
273610,518,1023
273811,518,1023
274012,518,1023
274213,518,1023
274414,518,1023
274615,518,1023
274816,518,1023
275016,518,1023
275218,518,1022
275419,518,1023
275619,518,1023
275820,518,1023
276021,518,1023
276222,518,1022
276423,518,1023
276624,518,1023
276825,518,1023
277025,518,1023
277227,518,1023
277428,518,1023
277628,518,1023
277829,518,1022
278030,518,1023
278232,518,1023
278432,518,1022
278633,518,1023
278834,518,1023
279034,518,1023
279236,520,1023
279437,518,1023
279638,518,1023
279838,518,1023
280039,518,1023
280241,518,1022
280441,518,1023
280642,518,1021
280843,517,1023
281043,518,1022
281245,518,1023
281446,518,1023
281647,518,1023
281847,518,1023
282048,518,1023
282250,518,1023
282450,518,1023
282651,518,1022
282852,520,1022
283053,518,1022
283254,518,1023
283455,518,1023
283656,518,1023
283856,518,1023
284057,518,1023
284259,518,1023
284460,518,1023
284660,517,1023
284861,518,1023
285062,518,1022
285263,518,1022
285464,517,1022
285665,518,1023
285865,518,1023
286066,518,1023
286268,518,1023
286469,518,1023
286669,518,1023
286870,518,1023
287071,517,1023
287272,517,1023
287473,517,1022
287674,517,1023
287875,516,1023
288075,517,1023
288277,517,1023
288478,516,1023
288678,515,1022
288879,516,1023
289080,515,1023
289282,515,1023
289482,515,1023
289683,515,1023
289884,515,1022
290084,515,1023
290286,515,1023
290487,515,1022
290688,515,1023
290888,515,1023
291089,515,1023
291291,515,1023
291491,515,1022
291692,516,1023
291893,515,1023
292093,515,1023
292295,515,1023
292496,515,1023
292697,515,1023
292897,515,1023
293098,515,1023
293300,515,1023
293500,514,1023
293701,514,1023
293902,513,1023
294103,513,1023
294304,513,1023
294505,512,1023
294706,512,1023
294906,512,1023
295107,512,1023
295309,512,1023
295510,513,1023
295710,512,1022
295911,513,1023
296112,513,1023
296313,513,1022
296514,513,1023
296715,513,1023
296915,513,1021
297117,514,1023
297318,514,1023
297519,514,1022
297719,516,1023
297920,514,1023
298122,514,1023
298322,514,1023
298523,516,1023
298724,514,1023
298925,514,1023
299126,514,1023
299327,514,1022
299528,513,1023
299728,513,1022
299929,513,1023
300131,512,1023
300332,513,1023
300532,513,1023
300733,513,1022
300934,514,1022
301135,514,1023
301336,514,1023
301537,514,1022
301737,514,1022
301938,514,1021
302140,514,1023
302341,513,1023
302541,514,1023
302742,514,1023
302943,513,1023
303144,513,1023
303345,514,1023
303546,514,1022
303747,514,1023
303947,514,1023
304149,514,1023
304350,514,1023
304550,514,1023
304751,515,1023
304952,515,1023
305154,514,1023
305354,514,1023
305555,515,1023
305756,514,1023
305956,514,993
306158,515,935
306359,515,895
306560,515,827
306760,514,788
306961,514,768
307162,515,766
307362,516,759
307564,515,748
307765,515,739
307965,514,719
308166,514,713
308367,514,713
308568,514,712
308769,513,713
308970,513,711
309171,513,711
309371,513,706
309572,513,703
309773,514,699
309975,512,696
310175,512,679
310376,512,659
310577,513,655
310777,512,652
310978,512,652
311179,512,652
311380,511,652
311581,512,652
311782,511,651
311983,511,650
312183,511,640
312384,511,624
312586,510,623
312786,511,622
312987,510,621
313188,510,614
313389,511,611
313589,510,608
313790,510,608
313992,509,607
314192,510,607
314393,509,604
314594,509,601
314795,509,591
314995,509,576
315197,509,574
315398,509,575
315598,508,574
315799,509,572
316000,508,563
316200,508,554
316401,509,549
316603,508,548
316804,508,546
317004,508,543
317205,508,541
317406,507,538
317606,508,532
317808,507,524
318009,508,523
318210,507,522
318410,507,522
318611,507,521
318812,507,521
319012,507,521
319214,506,521
319415,507,521
319616,506,521
319816,507,521
320017,506,521
320218,507,521
320419,506,520
320620,506,521
320821,506,521
321021,506,521
321222,506,520
321423,506,517
321625,506,482
321825,506,454
322026,506,427
322227,505,406
322427,506,403
322628,505,403
322829,506,404
323031,505,403
323231,505,404
323432,505,404
323633,505,403
323833,505,403
324034,505,403
324236,505,403
324436,505,404
324637,505,406
324838,505,404
325039,505,406
325239,504,411
325440,505,412
325642,505,412
325842,505,412
326043,504,411
326244,504,411
326445,504,411
326645,504,412
326847,504,424
327048,504,430
327248,504,451
327449,504,468
327650,504,476
327851,504,485
328051,504,489
328253,503,490
328454,504,491
328654,504,491
328855,504,493
329056,503,499
329256,504,506
329458,503,509
329659,503,511
329860,503,511
330060,503,510
330261,503,511
330462,503,510
330662,503,511
330864,503,510
331065,503,511
331266,502,510
331466,503,511
331667,503,510
331868,503,511
332069,503,510
332270,502,511
332471,503,511
332672,502,510
332872,503,510
333073,502,510
333274,502,511
333475,503,510
333676,502,511
333877,502,510
334077,502,511
334278,501,510
334479,502,511
334681,502,512
334881,502,510
335082,502,511
335283,503,510
335483,502,511
335684,502,510
335885,502,511
336087,502,510
336287,502,511
336488,502,510
336689,502,511
336889,502,510
337090,502,510
337292,502,510
337492,501,511
337693,502,510
337894,504,510
338095,502,510
338295,501,510
338496,502,511
338698,502,510
338898,502,511
339099,501,510
339300,503,511
339501,501,510
339701,502,510
339903,501,510
340104,501,510
340304,502,511
340505,501,510
340706,502,510
340907,501,510
341107,502,511
341309,501,510
341510,502,511
341710,501,510
341911,502,511
342112,501,510
342312,501,511
342514,501,510
342715,501,511
342916,503,511
343116,501,510
343317,504,510
343518,501,510
343718,501,511
343920,501,510
344121,501,511
344322,501,510
344522,501,511
344723,501,510
344924,501,511
345125,501,510
345326,501,510
345527,501,511
345728,501,510
345928,501,509
346129,501,510
346330,501,510
346531,500,510
346732,501,511
346933,501,510
347133,501,511
347334,501,510
347535,501,510
347737,500,511
347937,500,511
348138,501,510
348339,500,511
348539,501,511
348740,501,510
348942,501,511
349143,500,510
349343,501,511
349544,501,510
349745,501,511
349945,500,510
350146,501,511
350348,500,510
350548,501,511
350749,500,510
350950,500,510
351151,500,511
351351,500,510
351553,500,511
351754,500,510
351954,500,511
352155,500,512
352356,500,511
352557,500,510
352757,500,511
352959,500,510
353160,500,511
353360,500,511
353561,501,510
353762,500,511
353963,499,510
354164,500,511
354365,499,510
354566,502,510
354766,498,510
354967,499,510
355168,499,510
355368,500,511
355570,498,510
355771,499,511
355972,500,510
356172,500,510
356373,500,511
356574,499,510
356775,500,511
356976,499,510
357177,500,510
357378,499,510
