Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
15.35,8.121,0.022,,,,,,,,,,,,,,,,,
15.4,8.033,0.022,,,,,,,,,,,,,,,,,
15.45,7.939,0.022,,,,,,,,,,,,,,,,,
15.5,7.851,0.022,,,,,,,,,,,,,,,,,
15.55,7.769,0.022,,,,,,,,,,,,,,,,,
15.6,7.681,0.022,,,,,,,,,,,,,,,,,
15.65,7.593,0.022,,,,,,,,,,,,,,,,,
15.7,7.637,0.022,,,,,,,,,,,,,,,,,
15.75,8.112,0.022,,,,,,,,,,,,,,,,,
15.8,8.212,0.022,,,,,,,,,,,,,,,,,
15.85,8.31,0.022,,,,,,,,,,,,,,,,,
15.9,8.397,0.022,,,,,,,,,,,,,,,,,
15.95,8.485,0.022,,,,,,,,,,,,,,,,,
16,8.573,0.022,,,,,,,,,,,,,,,,,
16.05,8.661,0.022,,,,,,,,,,,,,,,,,
16.1,8.752,0.022,,,,,,,,,,,,,,,,,
16.15,8.844,0.022,,,,,,,,,,,,,,,,,
16.2,8.938,0.022,,,,,,,,,,,,,,,,,
16.25,9.029,0.022,,,,,,,,,,,,,,,,,
16.3,9.126,0.022,,,,,,,,,,,,,,,,,
16.35,9.221,0.022,,,,,,,,,,,,,,,,,
16.4,9.318,0.022,,,,,,,,,,,,,,,,,
16.45,9.409,0.022,,,,,,,,,,,,,,,,,
16.5,9.503,0.022,,,,,,,,,,,,,,,,,
16.55,9.601,0.022,,,,,,,,,,,,,,,,,
16.6,9.698,0.022,,,,,,,,,,,,,,,,,
16.65,9.792,0.022,,,,,,,,,,,,,,,,,
16.7,9.88,0.022,,,,,,,,,,,,,,,,,
16.75,9.965,0.022,,,,,,,,,,,,,,,,,
16.8,10.056,0.022,,,,,,,,,,,,,,,,,
16.85,10.141,0.022,,,,,,,,,,,,,,,,,
16.9,10.229,0.022,,,,,,,,,,,,,,,,,
16.95,10.323,0.022,,,,,,,,,,,,,,,,,
17,10.414,0.022,,,,,,,,,,,,,,,,,
17.05,10.502,0.022,,,,,,,,,,,,,,,,,
17.1,10.587,0.022,,,,,,,,,,,,,,,,,
