Time,Position1,Position2,,,,,,,,,,,,,,,,,
13.05,0.1003,2.25E-04,,,,,,,,,,,,,,,,,
13.1,0.1012,3.00E-04,,,,,,,,,,,,,,,,,
13.15,0.1021,3.75E-04,,,,,,,,,,,,,,,,,
13.2,0.1031,3.75E-04,,,,,,,,,,,,,,,,,
13.25,0.1044,3.75E-04,,,,,,,,,,,,,,,,,
13.3,0.1058,3.75E-04,,,,,,,,,,,,,,,,,
13.35,0.1075,4.50E-04,,,,,,,,,,,,,,,,,
13.4,0.1093,4.50E-04,,,,,,,,,,,,,,,,,
13.45,0.1114,4.50E-04,,,,,,,,,,,,,,,,,
13.5,0.1135,5.25E-04,,,,,,,,,,,,,,,,,
13.55,0.1158,5.25E-04,,,,,,,,,,,,,,,,,
13.6,0.1182,5.25E-04,,,,,,,,,,,,,,,,,
13.65,0.1208,5.25E-04,,,,,,,,,,,,,,,,,
13.7,0.1234,5.25E-04,,,,,,,,,,,,,,,,,
13.75,0.1237,5.25E-04,,,,,,,,,,,,,,,,,
13.8,0.1213,5.25E-04,,,,,,,,,,,,,,,,,
13.85,0.1189,5.25E-04,,,,,,,,,,,,,,,,,
13.9,0.1166,5.25E-04,,,,,,,,,,,,,,,,,
13.95,0.1143,5.25E-04,,,,,,,,,,,,,,,,,
14,0.1119,5.25E-04,,,,,,,,,,,,,,,,,
14.05,0.1238,5.25E-04,,,,,,,,,,,,,,,,,
14.1,0.1303,5.25E-04,,,,,,,,,,,,,,,,,
14.15,0.1334,5.25E-04,,,,,,,,,,,,,,,,,
14.2,0.1363,5.25E-04,,,,,,,,,,,,,,,,,
14.25,0.139,5.25E-04,,,,,,,,,,,,,,,,,
14.3,0.1417,5.25E-04,,,,,,,,,,,,,,,,,
14.35,0.1447,5.25E-04,,,,,,,,,,,,,,,,,
14.4,0.1475,5.25E-04,,,,,,,,,,,,,,,,,
14.45,0.1503,5.25E-04,,,,,,,,,,,,,,,,,
14.5,0.153,5.25E-04,,,,,,,,,,,,,,,,,
14.55,0.1557,5.25E-04,,,,,,,,,,,,,,,,,
14.6,0.1582,5.25E-04,,,,,,,,,,,,,,,,,
14.65,0.1607,5.25E-04,,,,,,,,,,,,,,,,,
14.7,0.1631,5.25E-04,,,,,,,,,,,,,,,,,
14.75,0.1654,5.25E-04,,,,,,,,,,,,,,,,,
14.8,0.1678,5.25E-04,,,,,,,,,,,,,,,,,
14.85,0.17,5.25E-04,,,,,,,,,,,,,,,,,
14.9,0.1721,5.25E-04,,,,,,,,,,,,,,,,,
14.95,0.1743,5.25E-04,,,,,,,,,,,,,,,,,
15,0.1765,5.25E-04,,,,,,,,,,,,,,,,,
15.05,0.1789,5.25E-04,,,,,,,,,,,,,,,,,
15.1,0.1817,5.25E-04,,,,,,,,,,,,,,,,,
15.15,0.1849,5.25E-04,,,,,,,,,,,,,,,,,
15.2,0.1873,5.25E-04,,,,,,,,,,,,,,,,,
15.25,0.1897,5.25E-04,,,,,,,,,,,,,,,,,
15.3,0.1919,5.25E-04,,,,,,,,,,,,,,,,,
15.35,0.1939,5.25E-04,,,,,,,,,,,,,,,,,
15.4,0.1918,5.25E-04,,,,,,,,,,,,,,,,,
15.45,0.1895,5.25E-04,,,,,,,,,,,,,,,,,
15.5,0.1874,5.25E-04,,,,,,,,,,,,,,,,,
15.55,0.1855,5.25E-04,,,,,,,,,,,,,,,,,
15.6,0.1834,5.25E-04,,,,,,,,,,,,,,,,,
15.65,0.1813,5.25E-04,,,,,,,,,,,,,,,,,
15.7,0.1823,5.25E-04,,,,,,,,,,,,,,,,,
15.75,0.1936,5.25E-04,,,,,,,,,,,,,,,,,
15.8,0.196,5.25E-04,,,,,,,,,,,,,,,,,
15.85,0.1984,5.25E-04,,,,,,,,,,,,,,,,,
15.9,0.2005,5.25E-04,,,,,,,,,,,,,,,,,
15.95,0.2026,5.25E-04,,,,,,,,,,,,,,,,,
16,0.2047,5.25E-04,,,,,,,,,,,,,,,,,
16.05,0.2068,5.25E-04,,,,,,,,,,,,,,,,,
