Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
19.5,-11.523,0.022,,,,,,,,,,,,,,,,,
19.55,-11.536,0.025,,,,,,,,,,,,,,,,,
19.6,-11.552,0.031,,,,,,,,,,,,,,,,,
19.65,-11.567,0.041,,,,,,,,,,,,,,,,,
19.7,-11.589,0.053,,,,,,,,,,,,,,,,,
19.75,-11.611,0.066,,,,,,,,,,,,,,,,,
19.8,-11.636,0.079,,,,,,,,,,,,,,,,,
19.85,-11.665,0.094,,,,,,,,,,,,,,,,,
19.9,-11.699,0.11,,,,,,,,,,,,,,,,,
19.95,-11.731,0.123,,,,,,,,,,,,,,,,,
20,-11.772,0.135,,,,,,,,,,,,,,,,,
20.05,-11.812,0.145,,,,,,,,,,,,,,,,,
20.1,-11.856,0.151,,,,,,,,,,,,,,,,,
20.15,-11.9,0.157,,,,,,,,,,,,,,,,,
20.2,-11.947,0.157,,,,,,,,,,,,,,,,,
20.25,-11.991,0.157,,,,,,,,,,,,,,,,,
20.3,-12.039,0.151,,,,,,,,,,,,,,,,,
20.35,-12.083,0.145,,,,,,,,,,,,,,,,,
20.4,-12.123,0.135,,,,,,,,,,,,,,,,,
20.45,-12.161,0.123,,,,,,,,,,,,,,,,,
20.5,-12.199,0.11,,,,,,,,,,,,,,,,,
20.55,-12.23,0.097,,,,,,,,,,,,,,,,,
