Time,Angle1,Angle2,,,,,,,,,,,,,,,,,
10.8,-5.083,0.245,,,,,,,,,,,,,,,,,
10.85,-5.121,0.258,,,,,,,,,,,,,,,,,
10.9,-5.162,0.267,,,,,,,,,,,,,,,,,
10.95,-5.202,0.27,,,,,,,,,,,,,,,,,
11,-5.246,0.27,,,,,,,,,,,,,,,,,
11.05,-5.29,0.267,,,,,,,,,,,,,,,,,
11.1,-5.328,0.258,,,,,,,,,,,,,,,,,
11.15,-5.369,0.245,,,,,,,,,,,,,,,,,
11.2,-5.4,0.232,,,,,,,,,,,,,,,,,
11.25,-5.429,0.217,,,,,,,,,,,,,,,,,
11.3,-5.454,0.201,,,,,,,,,,,,,,,,,
11.35,-5.473,0.185,,,,,,,,,,,,,,,,,
11.4,-5.485,0.173,,,,,,,,,,,,,,,,,
11.45,-5.498,0.163,,,,,,,,,,,,,,,,,
11.5,-5.507,0.157,,,,,,,,,,,,,,,,,
11.55,-5.513,0.154,,,,,,,,,,,,,,,,,
11.6,-5.523,0.157,,,,,,,,,,,,,,,,,
11.65,-5.532,0.167,,,,,,,,,,,,,,,,,
11.7,-5.542,0.179,,,,,,,,,,,,,,,,,
11.75,-5.557,0.192,,,,,,,,,,,,,,,,,
11.8,-5.579,0.207,,,,,,,,,,,,,,,,,
11.85,-5.605,0.226,,,,,,,,,,,,,,,,,
11.9,-5.633,0.242,,,,,,,,,,,,,,,,,
11.95,-5.667,0.254,,,,,,,,,,,,,,,,,
12,-5.705,0.267,,,,,,,,,,,,,,,,,
12.05,-5.746,0.276,,,,,,,,,,,,,,,,,
12.1,-5.787,0.28,,,,,,,,,,,,,,,,,
12.15,-5.831,0.28,,,,,,,,,,,,,,,,,
12.2,-5.872,0.276,,,,,,,,,,,,,,,,,
12.25,-5.912,0.267,,,,,,,,,,,,,,,,,
12.3,-5.95,0.254,,,,,,,,,,,,,,,,,
12.35,-5.985,0.239,,,,,,,,,,,,,,,,,
12.4,-6.013,0.223,,,,,,,,,,,,,,,,,
12.45,-6.038,0.207,,,,,,,,,,,,,,,,,
12.5,-6.057,0.195,,,,,,,,,,,,,,,,,
12.55,-6.073,0.182,,,,,,,,,,,,,,,,,
12.6,-6.085,0.17,,,,,,,,,,,,,,,,,
12.65,-6.095,0.167,,,,,,,,,,,,,,,,,
12.7,-6.104,0.163,,,,,,,,,,,,,,,,,
12.75,-6.11,0.167,,,,,,,,,,,,,,,,,
12.8,-6.12,0.176,,,,,,,,,,,,,,,,,
12.85,-6.132,0.185,,,,,,,,,,,,,,,,,
12.9,-6.148,0.201,,,,,,,,,,,,,,,,,
12.95,-6.17,0.217,,,,,,,,,,,,,,,,,
13,-6.195,0.232,,,,,,,,,,,,,,,,,
13.05,-6.227,0.248,,,,,,,,,,,,,,,,,
13.1,-6.261,0.261,,,,,,,,,,,,,,,,,
13.15,-6.296,0.273,,,,,,,,,,,,,,,,,
13.2,-6.337,0.28,,,,,,,,,,,,,,,,,
13.25,-6.381,0.283,,,,,,,,,,,,,,,,,
13.3,-6.421,0.283,,,,,,,,,,,,,,,,,
13.35,-6.462,0.28,,,,,,,,,,,,,,,,,
13.4,-6.503,0.27,,,,,,,,,,,,,,,,,
13.45,-6.541,0.258,,,,,,,,,,,,,,,,,
13.5,-6.575,0.245,,,,,,,,,,,,,,,,,
13.55,-6.604,0.229,,,,,,,,,,,,,,,,,
13.6,-6.626,0.214,,,,,,,,,,,,,,,,,
13.65,-6.644,0.201,,,,,,,,,,,,,,,,,
13.7,-6.66,0.188,,,,,,,,,,,,,,,,,
13.75,-6.673,0.179,,,,,,,,,,,,,,,,,
13.8,-6.682,0.173,,,,,,,,,,,,,,,,,
13.85,-6.688,0.17,,,,,,,,,,,,,,,,,
13.9,-6.698,0.176,,,,,,,,,,,,,,,,,
13.95,-6.707,0.182,,,,,,,,,,,,,,,,,
14,-6.72,0.195,,,,,,,,,,,,,,,,,
14.05,-6.736,0.207,,,,,,,,,,,,,,,,,
14.1,-6.758,0.223,,,,,,,,,,,,,,,,,
14.15,-6.78,0.239,,,,,,,,,,,,,,,,,
14.2,-6.811,0.254,,,,,,,,,,,,,,,,,
14.25,-6.842,0.267,,,,,,,,,,,,,,,,,
14.3,-6.88,0.276,,,,,,,,,,,,,,,,,
14.35,-6.918,0.286,,,,,,,,,,,,,,,,,
