"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,2.850,0.220,0.115,0.035,0.0052,0.003,8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.900,0.226,0.115,-0.035,0.0054,0.003,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,2.950,0.232,0.105,-0.070,0.0055,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.000,0.236,0.105,-0.035,0.0056,0.002,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.050,0.242,0.105,-0.035,0.0058,0.002,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.100,0.248,0.105,-0.070,0.0059,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.150,0.251,0.094,-0.070,0.0060,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.200,0.258,0.094,-0.035,0.0061,0.002,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.250,0.261,0.094,0.035,0.0062,0.002,8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.300,0.267,0.094,0.070,0.0064,0.002,0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.350,0.270,0.105,0.070,0.0064,0.002,0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.400,0.276,0.105,6.939E-16,0.0066,0.002,1.735E-17,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.450,0.283,0.105,-0.070,0.0067,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.500,0.286,0.094,-0.070,0.0068,0.002,-0.002,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.550,0.292,0.094,-0.035,0.0070,0.002,-8.333E-4,0.006,0.000,0.000,1.5000E-4,0.000,0.000
,,,,,,,3.600,0.295,0.094,6.939E-16,0.0070,0.002,1.735E-17,0.006,0.000,0.000,1.5000E-4,0.000,0.000
