"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,6.650,-3.880,-0.283,1.745,-0.0926,-0.007,0.042,-0.170,-0.283,1.117,-0.0040,-0.007,0.027
,,,,,,,6.700,-3.889,-0.199,1.396,-0.0928,-0.005,0.033,-0.182,-0.220,1.396,-0.0043,-0.005,0.033
,,,,,,,6.750,-3.899,-0.136,0.942,-0.0931,-0.003,0.022,-0.192,-0.147,1.641,-0.0046,-0.003,0.039
,,,,,,,6.800,-3.902,-0.105,0.419,-0.0931,-0.002,0.010,-0.198,-0.052,1.780,-0.0047,-0.001,0.042
,,,,,,,6.850,-3.908,-0.094,-0.105,-0.0933,-0.002,-0.002,-0.198,0.042,1.780,-0.0047,1.000E-3,0.042
,,,,,,,6.900,-3.911,-0.115,-0.628,-0.0934,-0.003,-0.015,-0.192,0.126,1.676,-0.0046,0.003,0.040
,,,,,,,6.950,-3.918,-0.157,-1.117,-0.0935,-0.004,-0.027,-0.185,0.209,1.536,-0.0044,0.005,0.037
,,,,,,,7.000,-3.927,-0.230,-1.501,-0.0937,-0.005,-0.036,-0.173,0.283,1.326,-0.0041,0.007,0.032
,,,,,,,7.050,-3.940,-0.314,-1.780,-0.0940,-0.007,-0.042,-0.154,0.346,1.012,-0.0037,0.008,0.024
,,,,,,,7.100,-3.958,-0.408,-1.955,-0.0945,-0.010,-0.047,-0.138,0.387,0.628,-0.0033,0.009,0.015
,,,,,,,7.150,-3.980,-0.513,-2.059,-0.0950,-0.012,-0.049,-0.116,0.408,0.175,-0.0028,0.010,0.004
,,,,,,,7.200,-4.009,-0.618,-2.059,-0.0957,-0.015,-0.049,-0.094,0.408,-0.244,-0.0022,0.010,-0.006
,,,,,,,7.250,-4.043,-0.723,-1.955,-0.0965,-0.017,-0.047,-0.075,0.377,-0.559,-0.0018,0.009,-0.013
,,,,,,,7.300,-4.081,-0.817,-1.780,-0.0974,-0.019,-0.042,-0.057,0.346,-0.803,-0.0013,0.008,-0.019
,,,,,,,7.350,-4.125,-0.901,-1.501,-0.0985,-0.021,-0.036,-0.041,0.304,-1.082,-9.7500E-4,0.007,-0.026
,,,,,,,7.400,-4.172,-0.974,-1.117,-0.0996,-0.023,-0.027,-0.025,0.241,-1.396,-6.0000E-4,0.006,-0.033
,,,,,,,7.450,-4.222,-1.016,-0.663,-0.1008,-0.024,-0.016,-0.016,0.157,-1.571,-3.7500E-4,0.004,-0.037
,,,,,,,7.500,-4.276,-1.037,-0.244,-0.1021,-0.025,-0.006,-0.009,0.073,-1.571,-2.2500E-4,0.002,-0.037
,,,,,,,7.550,-4.326,-1.037,0.105,-0.1033,-0.025,0.002,-0.009,0.000,-1.501,-2.2500E-4,0.000,-0.036
,,,,,,,7.600,-4.379,-1.026,0.454,-0.1045,-0.024,0.011,-0.009,-0.073,-1.501,-2.2500E-4,-0.002,-0.036
