"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,6.200,-2.639,0.230,3.107,-0.0630,0.005,0.074,0.119,-0.482,3.735,0.0028,-0.011,0.089
,,,,,,,6.250,-2.620,0.367,1.885,-0.0625,0.009,0.045,0.097,-0.272,4.328,0.0023,-0.006,0.103
,,,,,,,6.300,-2.598,0.429,0.454,-0.0620,0.010,0.011,0.091,-0.042,4.573,0.0022,-1.000E-3,0.109
,,,,,,,6.350,-2.576,0.408,-0.977,-0.0615,0.010,-0.023,0.094,0.199,4.468,0.0022,0.005,0.107
,,,,,,,6.400,-2.554,0.325,-2.304,-0.0610,0.008,-0.055,0.110,0.419,3.979,0.0026,0.010,0.095
,,,,,,,6.450,-2.542,0.178,-3.456,-0.0607,0.004,-0.082,0.138,0.607,3.142,0.0033,0.014,0.075
,,,,,,,6.500,-2.535,-0.031,-4.328,-0.0605,-7.500E-4,-0.103,0.173,0.744,2.059,0.0041,0.018,0.049
,,,,,,,6.550,-2.542,-0.272,-4.712,-0.0607,-0.006,-0.112,0.214,0.817,0.838,0.0051,0.019,0.020
,,,,,,,6.600,-2.564,-0.524,-4.573,-0.0612,-0.012,-0.109,0.258,0.827,-0.349,0.0061,0.020,-0.008
,,,,,,,6.650,-2.595,-0.744,-4.119,-0.0619,-0.018,-0.098,0.298,0.775,-1.431,0.0071,0.018,-0.034
,,,,,,,6.700,-2.639,-0.932,-3.526,-0.0630,-0.022,-0.084,0.336,0.681,-2.409,0.0080,0.016,-0.057
,,,,,,,6.750,-2.689,-1.100,-2.862,-0.0642,-0.026,-0.068,0.368,0.534,-3.246,0.0088,0.013,-0.077
,,,,,,,6.800,-2.749,-1.225,-2.025,-0.0656,-0.029,-0.048,0.393,0.346,-3.875,0.0094,0.008,-0.092
,,,,,,,6.850,-2.815,-1.309,-0.942,-0.0672,-0.031,-0.022,0.402,0.136,-4.189,0.0096,0.003,-0.100
,,,,,,,6.900,-2.881,-1.330,0.314,-0.0688,-0.032,0.007,0.405,-0.084,-4.224,0.0097,-0.002,-0.101
,,,,,,,6.950,-2.950,-1.278,1.571,-0.0704,-0.030,0.037,0.396,-0.293,-3.944,0.0094,-0.007,-0.094
,,,,,,,7.000,-3.013,-1.162,2.583,-0.0719,-0.028,0.062,0.374,-0.492,-3.316,0.0089,-0.012,-0.079
,,,,,,,7.050,-3.066,-1.005,3.351,-0.0732,-0.024,0.080,0.346,-0.639,-2.443,0.0082,-0.015,-0.058
,,,,,,,7.100,-3.113,-0.827,3.979,-0.0743,-0.020,0.095,0.308,-0.733,-1.466,0.0073,-0.017,-0.035
,,,,,,,7.150,-3.151,-0.607,4.433,-0.0752,-0.014,0.106,0.270,-0.785,-0.454,0.0064,-0.019,-0.011
,,,,,,,7.200,-3.176,-0.367,4.573,-0.0758,-0.009,0.109,0.229,-0.785,0.698,0.0055,-0.019,0.017
,,,,,,,7.250,-3.186,-0.136,4.328,-0.0760,-0.003,0.103,0.188,-0.723,1.955,0.0045,-0.017,0.047
,,,,,,,7.300,-3.189,0.073,3.735,-0.0761,0.002,0.089,0.154,-0.586,3.072,0.0037,-0.014,0.073
,,,,,,,7.350,-3.179,0.251,2.723,-0.0759,0.006,0.065,0.129,-0.398,3.840,0.0031,-0.009,0.092
,,,,,,,7.400,-3.160,0.367,1.361,-0.0754,0.009,0.032,0.113,-0.188,4.224,0.0027,-0.004,0.101
,,,,,,,7.450,-3.138,0.387,-0.070,-0.0749,0.009,-0.002,0.110,0.031,4.328,0.0026,7.500E-4,0.103
,,,,,,,7.500,-3.120,0.346,-1.361,-0.0745,0.008,-0.032,0.116,0.251,4.154,0.0028,0.006,0.099
,,,,,,,7.550,-3.104,0.251,-2.548,-0.0741,0.006,-0.061,0.135,0.461,3.595,0.0032,0.011,0.086
,,,,,,,7.600,-3.091,0.094,-3.630,-0.0738,0.002,-0.087,0.163,0.628,2.688,0.0039,0.015,0.064
,,,,,,,7.650,-3.091,-0.126,-4.328,-0.0738,-0.003,-0.103,0.201,0.733,1.606,0.0048,0.017,0.038
,,,,,,,7.700,-3.104,-0.367,-4.503,-0.0741,-0.009,-0.107,0.239,0.785,0.524,0.0057,0.019,0.012
,,,,,,,7.750,-3.129,-0.586,-4.294,-0.0747,-0.014,-0.102,0.280,0.785,-0.559,0.0067,0.019,-0.013
,,,,,,,7.800,-3.164,-0.796,-3.910,-0.0755,-0.019,-0.093,0.320,0.733,-1.641,0.0076,0.017,-0.039
,,,,,,,7.850,-3.208,-0.984,-3.351,-0.0766,-0.023,-0.080,0.355,0.618,-2.583,0.0085,0.015,-0.062
,,,,,,,7.900,-3.264,-1.141,-2.513,-0.0779,-0.027,-0.060,0.383,0.461,-3.281,0.0091,0.011,-0.078
,,,,,,,7.950,-3.324,-1.246,-1.501,-0.0793,-0.030,-0.036,0.402,0.283,-3.735,0.0096,0.007,-0.089
,,,,,,,8.000,-3.390,-1.288,-0.454,-0.0809,-0.031,-0.011,0.412,0.084,-4.014,0.0098,0.002,-0.096
,,,,,,,8.050,-3.456,-1.288,0.559,-0.0825,-0.031,0.013,0.412,-0.126,-4.049,0.0098,-0.003,-0.097
,,,,,,,8.100,-3.519,-1.236,1.606,-0.0840,-0.029,0.038,0.399,-0.335,-3.700,0.0095,-0.008,-0.088
,,,,,,,8.150,-3.581,-1.131,2.688,-0.0855,-0.027,0.064,0.377,-0.513,-3.002,0.0090,-0.012,-0.072
,,,,,,,8.200,-3.635,-0.963,3.595,-0.0868,-0.023,0.086,0.346,-0.639,-2.129,0.0082,-0.015,-0.051
,,,,,,,8.250,-3.679,-0.754,4.154,-0.0878,-0.018,0.099,0.311,-0.723,-1.187,0.0074,-0.017,-0.028
,,,,,,,8.300,-3.710,-0.534,4.328,-0.0886,-0.013,0.103,0.273,-0.764,-0.140,0.0065,-0.018,-0.003
,,,,,,,8.350,-3.732,-0.314,4.224,-0.0891,-0.007,0.101,0.232,-0.744,1.012,0.0055,-0.018,0.024
,,,,,,,8.400,-3.742,-0.105,3.875,-0.0893,-0.002,0.092,0.195,-0.660,2.129,0.0046,-0.016,0.051
,,,,,,,8.450,-3.742,0.084,3.211,-0.0893,0.002,0.077,0.167,-0.524,3.072,0.0040,-0.012,0.073
,,,,,,,8.500,-3.732,0.230,2.234,-0.0891,0.005,0.053,0.141,-0.346,3.770,0.0034,-0.008,0.090
,,,,,,,8.550,-3.717,0.314,1.047,-0.0887,0.007,0.025,0.129,-0.136,4.119,0.0031,-0.003,0.098
,,,,,,,8.600,-3.698,0.335,-0.209,-0.0883,0.008,-0.005,0.129,0.084,4.084,0.0031,0.002,0.097
,,,,,,,8.650,-3.682,0.293,-1.466,-0.0879,0.007,-0.035,0.138,0.283,3.770,0.0033,0.007,0.090
,,,,,,,8.700,-3.666,0.188,-2.653,-0.0875,0.004,-0.063,0.157,0.461,3.246,0.0037,0.011,0.077
,,,,,,,8.750,-3.660,0.021,-3.595,-0.0874,5.000E-4,-0.086,0.185,0.618,2.478,0.0044,0.015,0.059
,,,,,,,8.800,-3.663,-0.188,-4.119,-0.0874,-0.004,-0.098,0.220,0.723,1.431,0.0052,0.017,0.034
,,,,,,,8.850,-3.679,-0.408,-4.189,-0.0878,-0.010,-0.100,0.261,0.764,0.244,0.0062,0.018,0.006
