"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1","Time (s) Run #2","Angle, 004-000 (rad) Run #2","Angular Velocity, 004-000 (rad/s) Run #2","Angular Acceleration, 004-000 (rad/s²) Run #2","Position, 004-000 (m) Run #2","Velocity, 004-000 (m/s) Run #2","Acceleration, 004-000 (m/s²) Run #2","Angle, 670-231 (rad) Run #2","Angular Velocity, 670-231 (rad/s) Run #2","Angular Acceleration, 670-231 (rad/s²) Run #2","Position, 670-231 (m) Run #2","Velocity, 670-231 (m/s) Run #2","Acceleration, 670-231 (m/s²) Run #2"
,,,,,,,5.550,-2.623,-0.513,2.025,-0.0626,-0.012,0.048,0.154,-0.335,-0.105,0.0037,-0.008,-0.002
,,,,,,,5.600,-2.645,-0.408,1.955,-0.0631,-0.010,0.047,0.135,-0.325,0.419,0.0032,-0.008,0.010
,,,,,,,5.650,-2.664,-0.314,1.780,-0.0636,-0.007,0.042,0.119,-0.293,0.942,0.0028,-0.007,0.022
,,,,,,,5.700,-2.677,-0.230,1.501,-0.0639,-0.005,0.036,0.107,-0.230,1.396,0.0025,-0.005,0.033
,,,,,,,5.750,-2.686,-0.157,1.082,-0.0641,-0.004,0.026,0.094,-0.147,1.710,0.0022,-0.003,0.041
,,,,,,,5.800,-2.692,-0.115,0.524,-0.0643,-0.003,0.012,0.091,-0.052,1.850,0.0022,-0.001,0.044
,,,,,,,5.850,-2.695,-0.105,-0.105,-0.0643,-0.002,-0.002,0.091,0.042,1.885,0.0022,1.000E-3,0.045
,,,,,,,5.900,-2.702,-0.126,-0.698,-0.0645,-0.003,-0.017,0.094,0.136,1.815,0.0022,0.003,0.043
,,,,,,,5.950,-2.708,-0.178,-1.222,-0.0646,-0.004,-0.029,0.104,0.230,1.571,0.0025,0.005,0.037
,,,,,,,6.000,-2.717,-0.251,-1.606,-0.0649,-0.006,-0.038,0.119,0.304,1.117,0.0028,0.007,0.027
,,,,,,,6.050,-2.733,-0.346,-1.850,-0.0652,-0.008,-0.044,0.135,0.346,0.559,0.0032,0.008,0.013
,,,,,,,6.100,-2.752,-0.440,-1.990,-0.0657,-0.010,-0.047,0.154,0.356,0.035,0.0037,0.008,8.333E-4
,,,,,,,6.150,-2.777,-0.545,-1.955,-0.0663,-0.013,-0.047,0.173,0.346,-0.384,0.0041,0.008,-0.009
,,,,,,,6.200,-2.805,-0.649,-1.710,-0.0670,-0.015,-0.041,0.188,0.314,-0.733,0.0045,0.007,-0.017
,,,,,,,6.250,-2.843,-0.723,-1.326,-0.0679,-0.017,-0.032,0.204,0.272,-1.082,0.0049,0.006,-0.026
,,,,,,,6.300,-2.881,-0.775,-0.977,-0.0688,-0.018,-0.023,0.217,0.209,-1.431,0.0052,0.005,-0.034
,,,,,,,6.350,-2.919,-0.817,-0.628,-0.0697,-0.019,-0.015,0.226,0.126,-1.745,0.0054,0.003,-0.042
,,,,,,,6.400,-2.963,-0.848,-0.105,-0.0707,-0.020,-0.002,0.229,0.031,-1.920,0.0055,7.500E-4,-0.046
,,,,,,,6.450,-3.007,-0.838,0.489,-0.0718,-0.020,0.012,0.229,-0.073,-1.885,0.0055,-0.002,-0.045
,,,,,,,6.500,-3.047,-0.785,0.942,-0.0727,-0.019,0.022,0.223,-0.168,-1.606,0.0053,-0.004,-0.038
,,,,,,,6.550,-3.085,-0.733,1.222,-0.0736,-0.017,0.029,0.210,-0.241,-1.187,0.0050,-0.006,-0.028
,,,,,,,6.600,-3.120,-0.670,1.501,-0.0745,-0.016,0.036,0.198,-0.283,-0.803,0.0047,-0.007,-0.019
,,,,,,,6.650,-3.154,-0.586,1.815,-0.0753,-0.014,0.043,0.182,-0.314,-0.419,0.0043,-0.007,-0.010
,,,,,,,6.700,-3.179,-0.482,1.955,-0.0759,-0.011,0.047,0.167,-0.335,0.070,0.0040,-0.008,0.002
,,,,,,,6.750,-3.201,-0.377,1.850,-0.0764,-0.009,0.044,0.148,-0.314,0.628,0.0035,-0.007,0.015
,,,,,,,6.800,-3.217,-0.293,1.571,-0.0768,-0.007,0.037,0.132,-0.262,1.047,0.0031,-0.006,0.025
,,,,,,,6.850,-3.230,-0.220,1.222,-0.0771,-0.005,0.029,0.123,-0.199,1.292,0.0029,-0.005,0.031
,,,,,,,6.900,-3.239,-0.168,0.838,-0.0773,-0.004,0.020,0.113,-0.136,1.571,0.0027,-0.003,0.037
,,,,,,,6.950,-3.245,-0.136,0.384,-0.0775,-0.003,0.009,0.107,-0.052,1.885,0.0025,-0.001,0.045
,,,,,,,7.000,-3.252,-0.126,-0.140,-0.0776,-0.003,-0.003,0.107,0.063,1.990,0.0025,0.001,0.047
,,,,,,,7.050,-3.258,-0.147,-0.698,-0.0778,-0.003,-0.017,0.113,0.168,1.745,0.0027,0.004,0.042
,,,,,,,7.100,-3.264,-0.199,-1.222,-0.0779,-0.005,-0.029,0.126,0.241,1.326,0.0030,0.006,0.032
,,,,,,,7.150,-3.277,-0.272,-1.641,-0.0782,-0.006,-0.039,0.138,0.293,0.942,0.0033,0.007,0.022
,,,,,,,7.200,-3.292,-0.367,-1.920,-0.0786,-0.009,-0.046,0.154,0.335,0.524,0.0037,0.008,0.012
,,,,,,,7.250,-3.311,-0.471,-1.990,-0.0790,-0.011,-0.047,0.173,0.356,-4.441E-15,0.0041,0.008,-8.674E-17
,,,,,,,7.300,-3.340,-0.576,-1.815,-0.0797,-0.014,-0.043,0.192,0.335,-0.524,0.0046,0.008,-0.012
,,,,,,,7.350,-3.371,-0.660,-1.536,-0.0805,-0.016,-0.037,0.207,0.293,-0.908,0.0049,0.007,-0.022
,,,,,,,7.400,-3.405,-0.723,-1.257,-0.0813,-0.017,-0.030,0.220,0.241,-1.187,0.0052,0.006,-0.028
,,,,,,,7.450,-3.443,-0.785,-0.942,-0.0822,-0.019,-0.022,0.232,0.178,-1.466,0.0055,0.004,-0.035
,,,,,,,7.500,-3.484,-0.827,-0.489,-0.0832,-0.020,-0.012,0.239,0.094,-1.676,0.0057,0.002,-0.040
,,,,,,,7.550,-3.528,-0.838,0.070,-0.0842,-0.020,0.002,0.242,0.000,-1.745,0.0058,0.000,-0.042
,,,,,,,7.600,-3.569,-0.817,0.559,-0.0852,-0.019,0.013,0.239,-0.084,-1.676,0.0057,-0.002,-0.040
,,,,,,,7.650,-3.610,-0.775,0.942,-0.0862,-0.018,0.022,0.232,-0.168,-1.501,0.0055,-0.004,-0.036
,,,,,,,7.700,-3.647,-0.723,1.292,-0.0871,-0.017,0.031,0.223,-0.241,-1.187,0.0053,-0.006,-0.028
,,,,,,,7.750,-3.682,-0.649,1.641,-0.0879,-0.015,0.039,0.207,-0.293,-0.733,0.0049,-0.007,-0.017
,,,,,,,7.800,-3.713,-0.555,1.885,-0.0886,-0.013,0.045,0.192,-0.314,-0.279,0.0046,-0.007,-0.007
,,,,,,,7.850,-3.738,-0.450,1.920,-0.0892,-0.011,0.046,0.176,-0.314,0.140,0.0042,-0.007,0.003
,,,,,,,7.900,-3.757,-0.356,1.780,-0.0897,-0.008,0.042,0.160,-0.304,0.593,0.0038,-0.007,0.014
,,,,,,,7.950,-3.773,-0.272,1.536,-0.0901,-0.006,0.037,0.145,-0.262,1.117,0.0034,-0.006,0.027
,,,,,,,8.000,-3.786,-0.199,1.187,-0.0904,-0.005,0.028,0.132,-0.188,1.571,0.0031,-0.004,0.037
,,,,,,,8.050,-3.792,-0.147,0.698,-0.0905,-0.003,0.017,0.126,-0.094,1.780,0.0030,-0.002,0.042
,,,,,,,8.100,-3.798,-0.126,0.140,-0.0907,-0.003,0.003,0.123,0.000,1.780,0.0029,0.000,0.042
,,,,,,,8.150,-3.804,-0.136,-0.384,-0.0908,-0.003,-0.009,0.126,0.084,1.676,0.0030,0.002,0.040
,,,,,,,8.200,-3.811,-0.168,-0.838,-0.0910,-0.004,-0.020,0.132,0.168,1.536,0.0031,0.004,0.037
,,,,,,,8.250,-3.820,-0.220,-1.257,-0.0912,-0.005,-0.030,0.141,0.241,1.292,0.0034,0.006,0.031
,,,,,,,8.300,-3.833,-0.293,-1.641,-0.0915,-0.007,-0.039,0.157,0.304,0.873,0.0037,0.007,0.021
,,,,,,,8.350,-3.848,-0.387,-1.885,-0.0919,-0.009,-0.045,0.173,0.335,0.349,0.0041,0.008,0.008
