Time,Coil
5266,0
5274,0
5282,0
5291,0
5300,0
5308,0
5316,0
5324,0
5332,0
5341,0
5349,0
5357,4
5366,2
5374,0
5383,0
5391,0
5399,0
5407,0
5415,0
5424,0
5433,0
5441,0
5449,0
5457,0
5466,0
5474,0
5482,0
5490,2
5499,0
5508,2
5516,0
5524,2
5532,2
5540,3
5549,0
5557,0
5566,0
5574,1
5582,1
5591,0
5599,0
5607,0
5615,0
5623,0
5633,0
5641,0
5649,0
5657,0
5665,0
5673,0
5682,0
5690,0
5699,0
5707,0
5715,0
5724,1
5732,1
5740,0
5748,0
5756,0
5766,0
5774,0
5782,0
5790,0
5798,0
5807,0
5815,1
5823,1
5832,0
5840,0
5849,1
5857,5
5865,3
5873,4
5881,1
5890,2
5899,1
5907,2
5915,4
5923,3
5932,8
5940,9
5948,5
5956,11
5966,12
5976,3
5984,7
5992,5
6000,7
6008,5
6017,4
6025,17
6035,16
6044,8
6052,7
6061,3
6069,0
6077,11
6086,5
6094,0
6104,0
6112,4
6120,2
6128,0
6136,8
6145,2
6153,5
6161,1
6170,0
6178,0
6187,0
6195,0
6203,0
6211,0
6219,2
6227,1
6237,2
6245,1
6253,3
6261,3
6269,3
6278,8
6286,8
6294,8
6303,5
6311,6
6320,8
6328,6
6336,8
6344,9
6352,12
6362,12
6372,12
6381,17
6390,18
6400,19
6409,20
6418,19
6427,21
6437,22
6447,20
6456,15
6465,13
6474,9
6482,9
6491,7
6500,6
6508,6
6516,5
6524,4
6533,3
6541,3
6549,2
6557,2
6566,2
6575,1
6583,1
6591,1
6599,0
6607,1
6616,0
6624,0
6633,0
6641,0
6649,0
6658,0
6666,0
6674,0
6682,0
6690,0
6700,0
6708,0
6716,0
6724,0
6732,0
6740,0
6749,0
6757,0
6766,0
6774,0
6782,0
6791,0
6799,0
6807,0
6815,0
6823,0
6833,0
6841,0
6849,0
6857,0
6865,0
6874,0
6882,0
6890,0
6899,0
6907,0
6916,0
6924,0
6932,0
6940,0
6948,0
6957,0
6966,0
6974,0
6982,0
6990,0
6999,0
